,t-SNE 1,t-SNE 2
E0_32,-8.267875,-11.041911
E1_454,-2.542727,5.6080065
E2_310,-1.591979,1.0861169
E3_470,-4.8301735,11.386816
E4_73,-7.9387884,-11.037902
E5_565,8.446049,-0.78000826
E6_739,-5.743634,13.480565
E7_293,-1.3180716,-1.5176594
E8_383,-2.5294375,6.682109
E9_495,-6.762123,11.72337
E10_104,-6.642207,-10.248391
E11_769,-6.7018948,14.821291
E12_354,5.833217,-1.1673628
E13_460,7.566837,-0.95908064
E14_121,-5.701706,-8.835956
E15_704,-4.3108444,11.182512
E16_719,-5.688219,13.056931
E17_150,-8.60319,-9.615656
E18_282,-1.9206457,-1.7666944
E19_648,-5.477794,11.004999
E20_455,-2.5879207,5.626242
E21_704,-6.3486013,11.174334
E22_178,-7.2126236,-6.3770165
E23_372,5.081078,-1.0306644
E24_624,15.937961,-0.29567292
E25_689,-3.911496,12.640122
E26_164,-4.940244,-5.6441765
E27_639,-5.643211,13.6907015
E28_481,-3.0007598,6.685051
E29_608,-2.8602147,6.308559
E30_290,-1.5030525,0.18808402
E31_529,16.406887,-2.6309893
E32_274,-2.8391526,-0.94719195
E33_23,-10.601485,-10.906329
E34_19,-9.3104315,-11.2453375
E35_719,-6.3514605,11.868605
E36_155,-1.5539211,-2.5309215
E37_661,-3.5413775,12.449534
E38_341,8.629387,-0.58782864
E39_720,13.113872,-3.5634027
E40_161,-5.2775917,-5.8878727
E41_217,-2.1405532,-1.9772414
E42_257,-4.0482545,-4.9081993
E43_701,15.603224,-0.9477908
E44_796,16.561926,-1.812033
E45_152,-6.2920337,-7.7882233
E46_100,-7.5796156,-9.378601
E47_252,-1.4106287,-1.8350614
E48_713,-6.255524,11.78127
E49_84,-7.9061246,-10.513177
E50_512,15.722827,-3.0113688
E51_97,-6.121857,-7.5373497
E52_424,-5.6029754,14.461618
E53_156,-2.0312777,-2.408042
E54_71,-8.185694,-10.434461
E55_368,7.1494303,-1.1778828
E56_139,-6.103867,-6.168665
E57_556,-4.1898084,11.331556
E58_102,-8.316852,-9.228595
E59_181,-5.7409406,-5.7739515
E60_549,-7.373038,12.660781
E61_705,14.616122,-3.4535248
E62_542,-5.492524,12.232371
E63_618,14.997861,-2.041683
E64_304,-2.2754333,-0.6465316
E65_366,5.9144907,-1.160812
E66_133,-5.3762555,-6.524597
E67_779,-5.507234,14.408098
E68_83,-6.8396883,-8.094374
E69_565,-5.724337,11.14284
E70_733,15.173897,-1.8088806
E71_659,17.274149,-4.142684
E72_759,13.889976,-3.7100902
E73_547,-7.7319164,13.3436575
E74_299,-1.3320432,-1.0700378
E75_707,-5.223183,12.047932
E76_47,-8.228443,-10.42666
E77_169,-2.9104173,-2.105365
E78_681,-4.819777,14.933988
E79_576,-4.2900987,14.282611
E80_390,8.810996,-0.3152211
E81_600,-6.062137,12.55482
E82_490,-3.0973945,6.623519
E83_172,-5.8459334,-7.2929187
E84_734,12.872172,-3.6329334
E85_757,16.460842,-1.5896232
E86_4,-11.754642,-10.584184
E87_625,14.783797,-3.404139
E88_783,15.413848,-3.7370644
E89_163,-3.9338562,-3.826564
E90_417,-5.3328314,11.481878
E91_551,17.42287,-3.557261
E92_552,14.402809,-1.3542304
E93_616,-3.5235023,7.601876
E94_661,16.714727,-1.808344
E95_208,-2.9123585,-3.0606391
E96_189,-4.509358,-5.8117447
E97_409,8.288481,-0.6963094
E98_133,-4.2423563,-6.679003
E99_576,-6.6440053,10.67549
E100_227,-2.8935418,-2.0002074
E101_715,16.129848,-2.5677574
E102_775,-6.8919115,11.147572
E103_276,0.53787154,-1.1216178
E104_288,3.4474204,-0.9787979
E105_146,-5.348044,-5.2586427
E106_586,-4.067352,11.4861555
E107_55,-8.087266,-11.78793
E108_357,6.544742,-0.9451388
E109_289,-1.6274325,1.2162397
E110_285,-1.588617,-1.536165
E111_757,13.295844,-2.671293
E112_333,-1.7716526,2.768364
