,t-SNE 1,t-SNE 2
E0_234,-7.769732,0.90703857
E1_642,17.213057,-2.649476
E2_612,9.341054,-0.78413457
E3_772,18.062147,-2.728293
E4_467,4.631544,1.6657205
E5_119,-13.2563305,1.365924
E6_719,10.838259,0.33136597
E7_318,-5.3864627,1.8909421
E8_70,-16.255436,0.52577275
E9_774,15.553752,-1.4468147
E10_418,0.4292329,-4.416962
E11_389,-0.38179502,4.014128
E12_383,0.21812783,-4.396169
E13_651,10.892637,-0.8523027
E14_764,17.176573,-1.993644
E15_692,18.20488,-1.2847658
E16_92,-16.596853,1.7577364
E17_799,14.462682,-0.9373748
E18_434,-0.2825305,-4.2978935
E19_556,3.4052844,-3.441338
E20_225,-6.4791226,0.6997434
E21_631,10.114426,-0.6241138
E22_749,18.157005,-1.2099398
E23_747,16.392757,-1.5177214
E24_271,-5.727689,2.239453
E25_385,0.9429862,3.5475693
E26_706,6.5996194,-0.5315593
E27_409,0.33493045,-4.25175
E28_595,5.410487,-1.5831035
E29_279,-5.397074,0.7278388
E30_10,-18.703594,1.815698
E31_561,14.183555,-0.6980731
E32_168,-6.8299446,0.95822775
E33_434,1.4863565,-3.800593
E34_25,-17.608492,1.8458102
E35_513,6.939991,-0.5786398
E36_34,-16.801666,1.1141148
E37_641,11.781939,-1.4525588
E38_637,11.233916,-0.35908473
E39_296,-2.7897186,1.7671978
E40_370,-0.5030506,-3.4295974
E41_624,13.351126,-0.7105649
E42_183,-14.135295,1.4254707
E43_418,-0.82531697,3.6129386
E44_741,16.119276,-2.7316303
E45_123,-12.731853,1.1183033
E46_498,1.6845068,4.242104
E47_162,-6.2513585,1.0851915
E48_251,-5.373434,0.96766204
E49_633,11.415575,-0.07795362
E50_517,3.842087,-3.0192578
E51_102,-14.186952,0.88034785
E52_37,-16.062346,0.8411525
E53_765,18.400429,-2.5860305
E54_218,-6.459508,1.777786
E55_111,-16.763887,1.8376639
E56_475,-3.2367742,-1.8445967
E57_269,-2.2956154,-3.4674215
E58_708,18.1496,-1.1834643
E59_776,17.660177,-1.8360329
E60_39,-17.524221,1.1806263
E61_272,-1.6663312,3.5334365
E62_374,1.124839,4.2757826
E63_59,-17.932499,1.564792
E64_370,-2.489388,-0.71191406
E65_71,-17.967964,1.0455775
E66_333,0.5557804,3.9908462
E67_319,-2.618049,0.03736967
E68_318,-1.4897323,-3.2648346
E69_734,17.320112,-1.6365527
E70_739,13.446422,-1.1515241
E71_281,-3.8852882,-0.6596548
E72_281,-2.1916645,-1.6617386
E73_502,4.2232857,-2.3943887
E74_773,17.015629,-2.4034605
E75_515,6.937395,-1.9108802
E76_263,-5.3839297,2.241417
E77_630,11.508181,-0.072104186
E78_557,9.373826,-2.4638128
E79_462,1.0917773,2.9158068
E80_685,13.725811,-1.3842576
E81_37,-15.7770605,-0.029465545
E82_787,15.061975,-1.6298188
E83_232,-9.196067,1.1597279
E84_508,5.083392,1.62835
E85_309,-2.3434815,-3.0910358
E86_479,0.14884959,-3.9392507
E87_5,-18.91824,2.1875012
E88_0,-19.233862,2.30887
E89_98,-13.2383585,2.1241074
E90_239,-5.825894,0.9251776
E91_735,17.682135,-2.2444227
E92_188,-11.820147,1.1757863
E93_603,7.043786,-0.5322827
E94_631,10.301159,-0.6155646
E95_483,9.21621,-0.78731614
E96_227,-4.7546477,2.0677857
E97_405,2.7596502,3.120153
E98_779,14.300417,-1.632823
E99_250,-6.4683166,1.3420607
E100_207,-4.940947,0.95410687
E101_777,15.082201,-1.139767
E102_522,3.4541845,3.229914
E103_376,-0.3829761,3.9896848
E104_394,0.041686766,-4.124777
E105_579,9.2097435,0.97993296
E106_389,2.7453675,-3.2689922
E107_561,9.791194,-1.0914388
E108_306,-5.7940416,2.1233752
E109_246,-6.934444,1.1065325
E110_776,18.524578,-1.0546682
E111_476,4.738046,1.6158319
E112_486,2.6335604,3.1418092
E113_200,-7.011228,0.26267076
E114_235,-2.5449445,1.2902398
