,t-SNE 1,t-SNE 2
E0_752,-1.7854719,-7.2089753
E1_71,6.215649,-6.5668497
E2_411,-3.527393,8.676231
E3_415,-7.517195,5.0529675
E4_291,-2.080001,8.392033
E5_620,-7.108701,-5.306096
E6_112,6.7512217,-5.6668186
E7_211,8.685071,2.7196677
E8_222,7.532876,2.8049324
E9_395,-5.3952756,6.8171635
E10_341,2.8665035,7.167761
E11_399,-7.5410814,5.8311906
E12_613,-6.7878637,-5.3406677
E13_84,6.7871375,-4.643112
E14_324,2.86473,7.8458705
E15_185,7.1907716,3.971034
E16_362,-2.9517195,9.073515
E17_462,-5.7321315,6.156796
E18_501,-7.148337,-2.825477
E19_604,-6.5615997,-4.887189
E20_148,6.2268877,-6.65986
E21_567,-6.814855,-5.5537467
E22_416,7.54561,2.4571054
E23_563,-5.55044,-5.0141034
E24_454,-3.7491846,9.666693
E25_283,-0.8681518,9.204605
E26_587,-8.111188,0.83782035
E27_43,2.0477014,-7.268316
E28_354,-6.970172,5.134954
E29_245,4.240431,7.735076
E30_217,4.9342337,8.171255
E31_616,-5.899056,-4.391166
E32_663,-4.484915,-6.776212
E33_592,-6.42942,-3.9282835
E34_448,-4.783364,6.806838
E35_773,3.259052,-8.48379
E36_268,6.82407,3.8489332
E37_449,-4.7969093,6.7194023
E38_385,-7.588693,5.3980784
E39_461,-7.394894,5.9594703
E40_54,6.444657,-2.5975688
E41_384,-8.343022,4.7690344
E42_14,3.1653454,-5.076624
E43_90,8.455287,-1.0557137
E44_780,2.7242913,-8.265873
E45_143,8.080281,0.6541066
E46_561,-6.760761,-4.4886065
E47_376,-3.4485724,7.7337646
E48_199,6.403669,-3.7414517
E49_338,0.28080988,8.133985
E50_54,6.1003304,-4.8522935
E51_363,-5.3307815,7.104108
E52_265,-1.5460744,8.661719
E53_149,7.099388,5.01772
E54_592,-5.5859113,6.506377
E55_311,3.7377975,7.5148354
E56_486,-8.099367,-0.8683547
E57_80,8.466262,-2.2898006
E58_190,7.6495214,2.2477684
E59_421,-7.244453,4.5384073
E60_579,-2.2061982,-8.214541
E61_568,-3.8785028,-7.1192255
E62_736,-1.2151967,-8.56728
E63_755,5.3664994,-7.480366
E64_643,-5.607677,-6.1983805
E65_250,4.8641715,7.501227
E66_145,8.103028,3.4034288
E67_507,-7.329829,6.3494096
E68_705,-2.3341541,-8.493929
E69_753,5.7129474,-7.0281973
E70_705,-3.794237,-7.5982533
E71_498,-7.069213,4.5620832
E72_295,3.1385596,7.2868533
E73_428,-6.8536863,7.0747848
E74_695,-2.2024589,-7.320444
E75_375,-3.6951156,7.6177654
E76_573,-7.9349737,-2.0767186
E77_194,8.494796,3.4805722
E78_420,-3.6748815,7.7539444
E79_117,7.11868,-2.3558614
E80_570,-6.895772,-4.991447
E81_407,-5.6428146,5.835151
E82_373,-5.5990567,7.543067
E83_206,8.133958,3.115049
E84_554,-6.229244,-6.037363
E85_153,7.8925357,-2.7935576
E86_493,-4.2774925,-6.6140833
E87_296,-1.321825,8.087246
E88_221,4.905943,5.811903
E89_235,5.648937,5.2236204
E90_548,-8.888894,5.323402
E91_27,3.9659045,-4.803407
E92_580,-6.745502,-4.361786
E93_309,2.9539542,8.189566
E94_278,8.351187,2.9505105
E95_196,7.4083457,-2.079377
E96_560,3.8287604,-8.727129
E97_799,-6.5048175,-4.975361
E98_756,7.224283,-6.801886
E99_24,2.0911236,-6.240044
E100_271,3.7714384,7.0513816
E101_660,-5.534228,-6.8286138
E102_638,-5.438405,-6.186376
E103_80,8.35131,-1.2397512
E104_383,-3.0487363,8.152877
E105_505,-4.648181,8.276493
E106_696,4.1875196,-9.099735
E107_76,8.509196,-1.661761
E108_255,5.410532,5.9611382
E109_774,5.774382,-6.9884286
E110_57,6.6191077,-4.472019
E111_22,2.07888,-5.4949384
E112_191,8.189012,-0.63250667
E113_417,3.5189548,6.4721594
E114_53,5.5752053,-6.996722
E115_157,6.6976733,-4.7983303
E116_787,3.2938833,-8.563348
E117_524,-8.240899,3.0287213
E118_509,-9.012423,-0.7620006
E119_667,-7.3345947,0.8449863
E120_708,-3.1668737,-7.0872912
