,t-SNE 1,t-SNE 2
E0_407,0.26899692,0.8756745
E1_39,-18.597696,-1.2329178
E2_22,-19.993929,0.83605343
E3_494,6.9842496,-1.0330728
E4_562,11.745926,-0.37118062
E5_95,-18.89679,-0.24594958
E6_719,13.569548,-0.49512634
E7_316,-8.353037,0.1312606
E8_228,-8.02511,0.87455416
E9_783,19.172209,-0.32687518
E10_610,17.133636,-0.5363331
E11_694,19.972586,-1.1666706
E12_545,13.608531,-0.42699027
E13_690,8.922975,-0.85009414
E14_765,19.616575,-0.3978383
E15_49,-19.270096,1.2175763
E16_672,17.05463,0.28314424
E17_140,-18.297318,0.7764506
E18_563,8.976452,-1.5732082
E19_103,-17.87049,-0.3026553
E20_109,-18.60824,-0.07586947
E21_385,2.5906148,-1.124991
E22_584,6.599469,-0.39885277
E23_738,15.246913,-0.92060596
E24_662,19.134142,-0.29191008
E25_176,-13.1579075,0.7450232
E26_94,-15.842104,0.24667534
E27_634,11.000857,0.4071358
E28_169,-9.682263,0.7123413
E29_571,12.4529915,-0.3379726
E30_445,4.1780534,-0.72074884
E31_658,17.0095,0.49720502
E32_551,11.027131,-0.19497749
E33_486,8.111913,-0.12200001
E34_723,19.813486,-0.9860876
E35_135,-13.610934,1.273073
E36_499,10.457659,0.6434399
E37_530,10.472701,-0.78092724
E38_500,6.649227,-0.03593674
E39_199,-13.227308,0.024212439
E40_690,14.529586,-0.6991555
E41_721,12.60581,0.3871338
E42_529,6.261055,0.048559662
E43_642,14.384251,-0.4478031
E44_424,1.7834762,-0.8096106
E45_394,1.6812373,-0.9137738
E46_301,-1.9329387,0.62440056
E47_431,6.416601,-0.28682435
E48_144,-16.421497,0.1415731
E49_348,-4.8172235,0.61490744
E50_646,14.839902,-1.6112579
E51_45,-19.094378,0.91951084
E52_676,14.91646,-1.3817974
E53_798,15.973969,0.124198794
E54_634,13.806971,-0.7352058
E55_419,2.24443,-0.72493225
E56_236,-7.387911,0.92535305
E57_177,-13.600693,0.703205
E58_3,-20.718801,1.2470003
E59_14,-20.631271,1.1220442
E60_522,10.2531185,-0.36058503
E61_195,-11.23133,0.43501845
E62_791,19.910955,-0.24036548
E63_772,19.43051,-0.81755817
E64_231,-12.393315,0.8736218
E65_597,12.126077,-0.43125606
E66_237,-6.859512,-0.33820745
E67_421,4.739342,-0.5530842
E68_209,-9.914535,0.24493591
E69_22,-20.003553,0.35935006
E70_13,-19.377644,1.0546887
E71_378,-0.37404993,-0.16890348
E72_692,14.894559,0.36307606
E73_121,-16.990446,0.17963295
E74_216,-8.770401,0.89048237
E75_4,-20.622993,1.0790893
E76_376,-2.1588519,0.2413172
E77_633,14.8595295,-0.581823
E78_638,11.94616,-0.10232175
E79_748,19.577013,-0.90265757
E80_319,-2.1947596,-0.3784533
E81_60,-18.838947,1.1176561
E82_534,11.947664,0.45096955
E83_327,-8.519007,0.17559983
E84_539,5.7295012,-1.1712688
E85_88,-18.59046,0.26190656
E86_292,-3.499005,0.8073957
E87_252,-8.978024,0.61598366
E88_685,16.915815,-1.0826278
E89_363,-2.5742497,-0.738691
E90_38,-18.305166,0.67790645
E91_761,17.251982,-0.0789532
E92_269,-8.744395,0.15930077
E93_757,16.368393,-1.7440732
E94_323,-3.2823336,0.115637906
E95_80,-18.67763,0.16706757
E96_362,1.3201641,-0.99507326
E97_111,-13.958213,1.2359986
E98_77,-17.43155,-0.6008257
E99_479,3.8205125,0.09497331
E100_101,-13.997218,0.6962976
E101_586,11.988435,0.104709305
E102_161,-13.090692,1.8092307
E103_238,-7.431636,0.82742494
E104_340,-3.8488846,-0.58388734
E105_407,2.6820228,-0.39799216
E106_725,15.351037,0.09403934
E107_27,-18.806911,-0.9483706
