Cell ID,PseudoTime,Time,Experiment
E0_653,0.8172715894868585,653.0,0
E1_456,0.5707133917396746,456.0,1
E2_410,0.5131414267834794,410.0,2
E3_153,0.19148936170212766,153.0,3
E4_772,0.9662077596996246,772.0,4
E5_170,0.2127659574468085,170.0,5
E6_451,0.5644555694618273,451.0,6
E7_737,0.9224030037546934,737.0,7
E8_488,0.6107634543178974,488.0,8
E9_190,0.23779724655819776,190.0,9
E10_590,0.7384230287859824,590.0,10
E11_121,0.15143929912390489,121.0,11
E12_735,0.9198998748435544,735.0,12
E13_240,0.30037546933667086,240.0,13
E14_89,0.1113892365456821,89.0,14
E15_353,0.44180225281602004,353.0,15
E16_794,0.9937421777221527,794.0,16
E17_592,0.7409261576971214,592.0,17
E18_239,0.29912390488110135,239.0,18
E19_83,0.10387984981226533,83.0,19
E20_400,0.5006257822277848,400.0,20
E21_11,0.01376720901126408,11.0,21
E22_710,0.8886107634543179,710.0,22
E23_161,0.20150187734668334,161.0,23
E24_545,0.6821026282853567,545.0,24
E25_601,0.7521902377972466,601.0,25
E26_448,0.5607008760951189,448.0,26
E27_320,0.4005006257822278,320.0,27
E28_609,0.7622027534418022,609.0,28
E29_482,0.6032540675844806,482.0,29
E30_115,0.1439299123904881,115.0,30
E31_120,0.15018773466833543,120.0,31
E32_227,0.28410513141426785,227.0,32
E33_425,0.5319148936170213,425.0,33
E34_585,0.7321652065081352,585.0,34
E35_332,0.41551939924906134,332.0,35
E36_332,0.41551939924906134,332.0,36
E37_33,0.04130162703379224,33.0,37
E38_20,0.025031289111389236,20.0,38
E39_501,0.6270337922403004,501.0,39
E40_196,0.2453066332916145,196.0,40
E41_492,0.6157697121401752,492.0,41
E42_515,0.6445556946182729,515.0,42
E43_385,0.4818523153942428,385.0,43
E44_603,0.7546933667083855,603.0,44
E45_462,0.5782227784730913,462.0,45
E46_701,0.8773466833541927,701.0,46
E47_655,0.8197747183979975,655.0,47
E48_499,0.6245306633291614,499.0,48
E49_389,0.48685857321652065,389.0,49
E50_279,0.34918648310387984,279.0,50
E51_325,0.4067584480600751,325.0,51
E52_747,0.934918648310388,747.0,52
E53_412,0.5156445556946183,412.0,53
E54_239,0.29912390488110135,239.0,54
E55_342,0.42803504380475593,342.0,55
E56_799,1.0,799.0,56
E57_473,0.5919899874843555,473.0,57
E58_697,0.8723404255319149,697.0,58
E59_5,0.006257822277847309,5.0,59
E60_683,0.8548185231539425,683.0,60
E61_587,0.7346683354192741,587.0,61
E62_677,0.8473091364205256,677.0,62
E63_369,0.4618272841051314,369.0,63
E64_218,0.27284105131414266,218.0,64
E65_688,0.8610763454317898,688.0,65
E66_56,0.07008760951188986,56.0,66
E67_742,0.9286608260325406,742.0,67
E68_670,0.8385481852315394,670.0,68
E69_422,0.5281602002503129,422.0,69
E70_168,0.21026282853566958,168.0,70
E71_1,0.0012515644555694619,1.0,71
E72_603,0.7546933667083855,603.0,72
E73_27,0.03379224030037547,27.0,73
E74_415,0.5193992490613266,415.0,74
E75_260,0.32540675844806005,260.0,75
E76_558,0.6983729662077597,558.0,76
E77_293,0.3667083854818523,293.0,77
E78_486,0.6082603254067585,486.0,78
E79_524,0.655819774718398,524.0,79
E80_401,0.5018773466833542,401.0,80
E81_537,0.672090112640801,537.0,81
E82_313,0.39173967459324155,313.0,82
E83_544,0.6808510638297872,544.0,83
E84_425,0.5319148936170213,425.0,84
E85_61,0.07634543178973717,61.0,85
E86_434,0.5431789737171464,434.0,86
E87_327,0.409261576971214,327.0,87
E88_714,0.8936170212765957,714.0,88
E89_71,0.08886107634543179,71.0,89
E90_376,0.47058823529411764,376.0,90
E91_212,0.26533166458072593,212.0,91
E92_34,0.0425531914893617,34.0,92
E93_415,0.5193992490613266,415.0,93
E94_171,0.21401752190237797,171.0,94
E95_622,0.7784730913642053,622.0,95
E96_121,0.15143929912390489,121.0,96
E97_216,0.27033792240300375,216.0,97
E98_525,0.6570713391739674,525.0,98
E99_622,0.7784730913642053,622.0,99
E100_371,0.4643304130162703,371.0,100
E101_425,0.5319148936170213,425.0,101
E102_631,0.7897371714643304,631.0,102
E103_746,0.9336670838548186,746.0,103
E104_447,0.5594493116395495,447.0,104
E105_582,0.7284105131414268,582.0,105
E106_613,0.7672090112640801,613.0,106
E107_149,0.18648310387984982,149.0,107
E108_359,0.4493116395494368,359.0,108
E109_19,0.023779724655819776,19.0,109
E110_86,0.10763454317897372,86.0,110
E111_183,0.22903629536921152,183.0,111
E112_368,0.46057571964956195,368.0,112
E113_479,0.5994993742177722,479.0,113
E114_437,0.5469336670838548,437.0,114
E115_14,0.017521902377972465,14.0,115
E116_454,0.5682102628285357,454.0,116
E117_245,0.30663329161451813,245.0,117
E118_762,0.9536921151439299,762.0,118
E119_21,0.026282853566958697,21.0,119
E120_765,0.9574468085106383,765.0,120
E121_90,0.11264080100125157,90.0,121
E122_257,0.3216520650813517,257.0,122
E123_759,0.9499374217772215,759.0,123
E124_106,0.13266583229036297,106.0,124
E125_53,0.06633291614518148,53.0,125
E126_83,0.10387984981226533,83.0,126
E127_283,0.3541927409261577,283.0,127
E128_595,0.7446808510638298,595.0,128
E129_705,0.8823529411764706,705.0,129
E130_380,0.4755944931163955,380.0,130
E131_267,0.3341677096370463,267.0,131
E132_96,0.12015018773466833,96.0,132
E133_218,0.27284105131414266,218.0,133
E134_79,0.09887359198998748,79.0,134
E135_394,0.493116395494368,394.0,135
E136_464,0.5807259073842302,464.0,136
E137_480,0.6007509386733417,480.0,137
E138_126,0.15769712140175218,126.0,138
E139_598,0.7484355444305382,598.0,139
E140_539,0.6745932415519399,539.0,140
E141_235,0.29411764705882354,235.0,141
E142_527,0.6595744680851063,527.0,142
E143_583,0.7296620775969962,583.0,143
E144_429,0.5369211514392991,429.0,144
E145_294,0.36795994993742176,294.0,145
E146_519,0.6495619524405507,519.0,146
E147_327,0.409261576971214,327.0,147
E148_7,0.008760951188986232,7.0,148
E149_138,0.17271589486858574,138.0,149
E150_621,0.7772215269086358,621.0,150
E151_472,0.590738423028786,472.0,151
E152_577,0.7221526908635795,577.0,152
E153_289,0.3617021276595745,289.0,153
E154_289,0.3617021276595745,289.0,154
E155_759,0.9499374217772215,759.0,155
E156_477,0.5969962453066333,477.0,156
E157_148,0.18523153942428036,148.0,157
E158_369,0.4618272841051314,369.0,158
E159_382,0.4780976220275344,382.0,159
E160_320,0.4005006257822278,320.0,160
E161_61,0.07634543178973717,61.0,161
E162_263,0.32916145181476847,263.0,162
E163_355,0.44430538172715894,355.0,163
E164_430,0.5381727158948686,430.0,164
E165_106,0.13266583229036297,106.0,165
E166_411,0.5143929912390488,411.0,166
E167_141,0.17647058823529413,141.0,167
E168_720,0.9011264080100125,720.0,168
E169_443,0.5544430538172715,443.0,169
E170_347,0.43429286608260326,347.0,170
E171_383,0.4793491864831039,383.0,171
E172_185,0.23153942428035043,185.0,172
E173_281,0.35168961201501875,281.0,173
E174_786,0.983729662077597,786.0,174
E175_797,0.9974968710888611,797.0,175
E176_118,0.1476846057571965,118.0,176
E177_620,0.7759699624530664,620.0,177
E178_184,0.23028785982478098,184.0,178
E179_746,0.9336670838548186,746.0,179
E180_560,0.7008760951188986,560.0,180
E181_352,0.4405506883604506,352.0,181
E182_388,0.4856070087609512,388.0,182
E183_349,0.43679599499374216,349.0,183
E184_255,0.3191489361702128,255.0,184
E185_696,0.8710888610763454,696.0,185
E186_366,0.45807259073842305,366.0,186
E187_651,0.8147684605757196,651.0,187
E188_2,0.0025031289111389237,2.0,188
E189_366,0.45807259073842305,366.0,189
E190_492,0.6157697121401752,492.0,190
E191_43,0.05381727158948686,43.0,191
E192_588,0.7359198998748435,588.0,192
E193_80,0.10012515644555695,80.0,193
E194_565,0.7071339173967459,565.0,194
E195_431,0.5394242803504381,431.0,195
E196_88,0.11013767209011265,88.0,196
E197_235,0.29411764705882354,235.0,197
E198_789,0.9874843554443054,789.0,198
E199_230,0.2878598247809762,230.0,199
E200_178,0.2227784730913642,178.0,200
E201_113,0.1414267834793492,113.0,201
E202_610,0.7634543178973717,610.0,202
E203_129,0.16145181476846057,129.0,203
E204_417,0.5219023779724656,417.0,204
E205_133,0.16645807259073842,133.0,205
E206_620,0.7759699624530664,620.0,206
E207_73,0.09136420525657071,73.0,207
E208_13,0.016270337922403004,13.0,208
E209_358,0.44806007509386736,358.0,209
E210_229,0.28660826032540676,229.0,210
E211_46,0.057571964956195244,46.0,211
E212_678,0.8485607008760951,678.0,212
E213_439,0.5494367959949937,439.0,213
E214_220,0.2753441802252816,220.0,214
E215_310,0.3879849812265332,310.0,215
E216_718,0.8986232790988736,718.0,216
E217_493,0.6170212765957447,493.0,217
E218_561,0.7021276595744681,561.0,218
E219_650,0.8135168961201502,650.0,219
E220_289,0.3617021276595745,289.0,220
E221_458,0.5732165206508135,458.0,221
E222_3,0.0037546933667083854,3.0,222
E223_95,0.11889862327909888,95.0,223
E224_131,0.1639549436795995,131.0,224
E225_134,0.1677096370463079,134.0,225
E226_59,0.07384230287859825,59.0,226
E227_746,0.9336670838548186,746.0,227
E228_238,0.2978723404255319,238.0,228
E229_735,0.9198998748435544,735.0,229
E230_730,0.9136420525657072,730.0,230
E231_248,0.31038798498122655,248.0,231
E232_605,0.7571964956195244,605.0,232
E233_409,0.5118898623279099,409.0,233
E234_793,0.9924906132665833,793.0,234
E235_405,0.5068836045056321,405.0,235
E236_125,0.15644555694618273,125.0,236
E237_673,0.8423028785982478,673.0,237
E238_751,0.9399249061326659,751.0,238
E239_206,0.25782227784730916,206.0,239
E240_666,0.8335419274092616,666.0,240
E241_536,0.6708385481852316,536.0,241
E242_592,0.7409261576971214,592.0,242
E243_129,0.16145181476846057,129.0,243
E244_210,0.26282853566958697,210.0,244
E245_338,0.4230287859824781,338.0,245
E246_603,0.7546933667083855,603.0,246
E247_527,0.6595744680851063,527.0,247
E248_261,0.32665832290362956,261.0,248
E249_111,0.13892365456821026,111.0,249
E250_115,0.1439299123904881,115.0,250
E251_387,0.48435544430538174,387.0,251
E252_220,0.2753441802252816,220.0,252
E253_178,0.2227784730913642,178.0,253
E254_694,0.8685857321652065,694.0,254
E255_159,0.19899874843554444,159.0,255
E256_33,0.04130162703379224,33.0,256
E257_374,0.46808510638297873,374.0,257
E258_346,0.4330413016270338,346.0,258
E259_404,0.5056320400500626,404.0,259
E260_414,0.5181476846057572,414.0,260
E261_72,0.09011264080100125,72.0,261
E262_383,0.4793491864831039,383.0,262
E263_770,0.9637046307884856,770.0,263
E264_603,0.7546933667083855,603.0,264
E265_122,0.15269086357947434,122.0,265
E266_592,0.7409261576971214,592.0,266
E267_724,0.9061326658322904,724.0,267
E268_441,0.5519399249061326,441.0,268
E269_177,0.22152690863579474,177.0,269
E270_529,0.6620775969962454,529.0,270
E271_22,0.02753441802252816,22.0,271
E272_392,0.490613266583229,392.0,272
E273_599,0.7496871088861077,599.0,273
E274_100,0.1251564455569462,100.0,274
E275_328,0.41051314142678347,328.0,275
E276_541,0.6770963704630788,541.0,276
E277_294,0.36795994993742176,294.0,277
E278_223,0.27909887359199,223.0,278
E279_315,0.39424280350438046,315.0,279
E280_166,0.20775969962453067,166.0,280
E281_530,0.6633291614518148,530.0,281
E282_733,0.9173967459324155,733.0,282
E283_536,0.6708385481852316,536.0,283
