,t-SNE 1,t-SNE 2
E0_653,17.000444,0.23756413
E1_456,6.6523733,-0.5658188
E2_410,-0.29056215,-0.7234811
E3_153,-13.67667,0.10772221
E4_772,19.920464,-0.7138221
E5_170,-13.421856,1.4425004
E6_451,0.93576455,0.23197289
E7_737,17.05628,-1.4142172
E8_488,11.701326,0.27846253
E9_190,-13.701014,-0.1035298
E10_590,9.852804,0.3543422
E11_121,-13.993041,0.0028899196
E12_735,19.290014,-0.7787134
E13_240,-8.295439,0.87511015
E14_89,-18.689995,0.9795299
E15_353,-2.4781866,0.8079742
E16_794,20.997303,1.0631361
E17_592,9.922257,-0.3988212
E18_239,-10.715593,0.57845056
E19_83,-19.152292,0.9873465
E20_400,2.8072011,0.75382483
E21_11,-21.446888,0.77857596
E22_710,17.00408,0.13210705
E23_161,-13.36311,0.63253075
E24_545,12.289699,-0.59750766
E25_601,13.237794,-0.9289921
E26_448,5.3620224,-0.11876792
E27_320,-2.8779657,-0.51921755
E28_609,13.156239,-0.8477021
E29_482,6.4563937,-0.7771513
E30_115,-18.292242,-0.37034208
E31_120,-14.832726,0.38383397
E32_227,-7.9606795,0.7261728
E33_425,4.845616,-0.5012914
E34_585,6.6253233,-0.8051994
E35_332,0.62627536,0.62762374
E36_332,-1.2637255,-0.4409326
E37_33,-20.411448,0.346476
E38_20,-19.642756,0.94250166
E39_501,8.061824,-2.0440187
E40_196,-7.688293,0.96362
E41_492,9.169087,-0.53369886
E42_515,5.4665966,-0.42286068
E43_385,-1.1775427,0.67754614
E44_603,13.151772,-0.6458337
E45_462,12.03878,-0.11415068
E46_701,15.489658,-0.9237176
E47_655,16.266817,-1.3157296
E48_499,0.9599428,-0.54595184
E49_389,-3.6238782,-0.116729155
E50_279,-9.792825,0.081142664
E51_325,-2.2482705,-0.63479996
E52_747,17.626266,-1.3079458
E53_412,2.591911,-0.20835605
E54_239,-7.805571,-0.3358052
E55_342,-6.2576785,0.15778893
E56_799,19.808931,-0.8434586
E57_473,1.4941987,-0.38275036
E58_697,13.3779335,-0.18300308
E59_5,-21.67624,1.1517527
E60_683,18.299896,-0.15324596
E61_587,11.177803,-1.0767877
E62_677,12.29314,-0.15247968
E63_369,-0.9173045,-0.9478536
E64_218,-10.570051,0.38140756
E65_688,12.272899,-0.3932589
E66_56,-18.456408,0.6243437
E67_742,18.31015,-0.38365874
E68_670,19.79154,-0.929837
E69_422,2.176685,0.028237
E70_168,-14.071236,0.7338748
E71_1,-21.90009,1.2882099
E72_603,16.030058,-0.5746509
E73_27,-20.24566,0.24604389
E74_415,9.080705,0.72979933
E75_260,-9.312145,0.48697466
E76_558,12.233123,-0.464811
E77_293,-2.9800472,0.8260883
E78_486,7.217566,-1.2847685
E79_524,8.489563,-0.9583348
E80_401,3.3512204,-0.67338514
E81_537,11.6697235,0.9452337
E82_313,-14.93372,0.47003648
E83_544,7.769203,-1.1592839
E84_425,0.67275953,0.36994132
E85_61,-20.4335,0.06605566
E86_434,-0.6024459,0.5573744
E87_327,-2.6648746,0.13975938
E88_714,20.42885,0.19864109
E89_71,-18.996729,0.16934773
E90_376,1.134968,-0.917814
E91_212,-8.683414,0.45179892
E92_34,-20.164492,0.4132077
E93_415,2.2410517,0.017244581
E94_171,-13.798607,1.1552086
E95_622,15.310983,-1.0327121
E96_121,-14.203726,1.2433947
E97_216,-8.66452,0.02213977
E98_525,9.502249,-0.46071514
E99_622,13.72492,0.26538274
E100_371,1.3963041,0.39127967
E101_425,1.5763376,-1.1786191
E102_631,13.557884,0.6185979
E103_746,12.413863,0.61384326
E104_447,2.739154,0.6299581
E105_582,8.206554,-1.5318729
E106_613,15.577772,-1.0880736
E107_149,-13.827732,-0.5751278
E108_359,-1.8168137,0.3480779
E109_19,-20.3754,0.63954824
E110_86,-18.907948,0.54398924
E111_183,-10.18464,0.44443235
E112_368,-0.0047703893,0.25071558
E113_479,7.5667753,-1.5610099
E114_437,2.7767944,-0.09403316
E115_14,-21.179998,0.86462164
E116_454,3.075982,-1.4483564
E117_245,-8.215041,0.40132797
E118_762,20.77818,0.6862301
E119_21,-19.184338,-0.18054797
E120_765,20.016369,-1.1561562
E121_90,-19.989162,0.58215
E122_257,-9.032685,0.6710619
E123_759,19.719397,-0.74169093
E124_106,-19.679281,0.99120307
E125_53,-20.479288,0.4486581
E126_83,-20.743582,0.8397446
E127_283,-8.825682,0.60455614
E128_595,12.1888,-0.10096254
E129_705,18.364128,-1.0667267
E130_380,3.239883,-0.87990224
E131_267,-7.72369,1.1301275
E132_96,-18.138878,0.5173664
E133_218,-9.182871,0.7430645
E134_79,-19.52406,0.59398055
E135_394,1.7059882,-0.52796346
E136_464,8.074573,-0.77245736
E137_480,2.5590513,1.1032559
E138_126,-12.8993025,-0.23646683
E139_598,9.797561,-0.25071535
E140_539,2.3236523,0.28444177
E141_235,-9.141482,0.031975564
E142_527,8.526449,-1.1849216
E143_583,13.813195,-0.458105
E144_429,6.333811,-0.8077186
E145_294,-3.6951745,-0.20739354
E146_519,7.646933,-0.43535954
E147_327,-2.802791,-0.7320997
E148_7,-21.647926,1.0145112
E149_138,-13.734248,-0.13020873
E150_621,12.201882,-0.8739949
E151_472,2.3559868,0.3098608
E152_577,7.25726,-0.6229968
E153_289,-7.1583247,-0.7071908
E154_289,-8.376061,0.9712172
E155_759,20.760532,0.5613463
E156_477,0.94476664,-0.14087377
E157_148,-16.15146,0.62048334
E158_369,-2.9010093,0.04292367
E159_382,2.697531,0.5146599
E160_320,1.4223975,0.39720884
E161_61,-18.927322,0.5115303
E162_263,-4.2119565,0.5152053
E163_355,-2.6816297,0.011411239
E164_430,1.8594536,1.1549797
E165_106,-13.941031,1.5188746
E166_411,7.1060977,-0.036025524
E167_141,-18.811306,1.473752
E168_720,17.95953,-1.1086733
E169_443,2.743703,-0.80054015
E170_347,2.2025692,-0.30475682
E171_383,1.152088,0.2103458
E172_185,-12.337214,0.882359
E173_281,-2.8919694,-0.50562954
E174_786,17.970987,-0.9556721
E175_797,20.632433,0.23072806
E176_118,-13.706135,1.023603
E177_620,14.434448,-0.41124296
E178_184,-13.337754,1.389997
E179_746,14.563088,-0.19681847
E180_560,12.446584,0.15993474
E181_352,-1.3474053,-0.75175124
E182_388,1.4454167,-0.2606022
E183_349,-3.3897624,0.14918019
E184_255,-14.541715,0.25470802
E185_696,19.676498,-0.49733165
E186_366,3.5032077,0.5108277
E187_651,16.6403,-0.54929686
E188_2,-21.776184,1.0870322
E189_366,-2.5787454,-0.27888936
E190_492,11.322312,-0.4445623
E191_43,-19.097773,-0.06803583
E192_588,9.916392,-0.7095767
E193_80,-18.679787,1.2283872
E194_565,12.309294,0.5481249
E195_431,1.4797798,-0.47228068
E196_88,-17.306973,0.4864211
E197_235,-13.265232,-0.5636674
E198_789,19.926928,-1.2484903
E199_230,-9.424107,1.2383268
E200_178,-17.178448,-0.048620608
E201_113,-14.822571,0.17524973
E202_610,18.903246,-0.79843855
E203_129,-13.556655,0.60423154
E204_417,1.8568075,-0.14486514
E205_133,-13.342482,-0.016691258
E206_620,12.2866955,-0.40007636
E207_73,-17.717402,1.3641956
E208_13,-20.565853,-0.14261201
E209_358,1.388642,0.16627207
E210_229,-9.620673,0.5305615
E211_46,-19.286123,-0.36795095
E212_678,13.230941,-0.8300189
E213_439,7.4324927,-0.5248183
E214_220,-9.397749,0.63915133
E215_310,-4.782209,0.82092965
E216_718,16.821087,-0.77258223
E217_493,1.233835,-0.4516668
E218_561,13.5543995,0.09967134
E219_650,17.97732,-1.1333859
E220_289,-8.256343,0.6986281
E221_458,0.78627443,-0.4282965
E222_3,-21.889605,1.3128405
E223_95,-17.775398,0.9891951
E224_131,-13.32406,1.3971714
E225_134,-19.766947,1.0339653
E226_59,-18.759008,0.57496905
E227_746,12.536505,0.44304022
E228_238,-5.51748,0.29489216
E229_735,16.788809,-1.1234491
E230_730,20.927492,0.9646226
E231_248,-8.363702,0.8828207
E232_605,9.280506,0.04896002
E233_409,5.04694,0.11343676
E234_793,20.809544,0.7777708
E235_405,2.1974943,0.1319626
E236_125,-15.184709,1.2768092
E237_673,14.889831,-0.39253867
E238_751,16.960615,-1.3760703
E239_206,-7.9432273,0.5491751
E240_666,11.838965,0.4739162
E241_536,3.4206142,0.4746887
E242_592,13.231787,-0.35233477
E243_129,-14.20245,0.667086
E244_210,-9.6326475,0.09527243
E245_338,-7.225537,-0.57184565
E246_603,8.908738,-0.5173622
E247_527,8.378684,-1.2698259
E248_261,-7.8645225,1.1525397
E249_111,-19.330196,1.1863685
E250_115,-14.183846,1.194759
E251_387,3.8089921,1.0524672
E252_220,-9.566327,0.23966385
E253_178,-13.237233,0.51436996
E254_694,19.242878,-1.2561461
E255_159,-10.7706175,0.58450705
E256_33,-19.517727,-0.6735549
E257_374,2.9064116,-0.808087
E258_346,-2.330044,0.10112658
E259_404,0.68191785,0.09294557
E260_414,2.1312752,0.16399918
E261_72,-20.474804,-0.38599467
E262_383,1.4697704,0.17070661
E263_770,19.99223,-0.3819447
E264_603,13.958801,-0.41809124
E265_122,-14.021761,-0.61784524
E266_592,15.495521,-0.7896681
E267_724,19.540257,-0.44609642
E268_441,1.6363827,-0.6392109
E269_177,-13.17281,1.025785
E270_529,7.1348286,-1.0542786
E271_22,-20.171412,-0.017249193
E272_392,6.6938667,0.30110946
E273_599,8.5128,-0.79127645
E274_100,-20.193092,0.3077451
E275_328,-8.538451,0.25569093
E276_541,4.6620708,0.03238725
E277_294,-3.2473335,0.96242625
E278_223,-8.064071,0.46354774
E279_315,-2.227098,0.49318293
E280_166,-14.386833,0.21929686
E281_530,7.541826,-2.0090976
E282_733,11.860099,-1.1491458
E283_536,12.100282,-0.022878673
E284_179,-12.140857,0.7175401
E285_72,-18.918072,-0.07332821
E286_337,-1.8804249,-0.30050576
E287_607,12.62237,-0.027349219
E288_6,-21.7577,1.2931073
E289_27,-20.245768,-0.027676476
E290_523,6.779394,-0.22283083
E291_547,3.7936735,0.02455599
E292_533,11.696852,-0.4798164
E293_86,-18.936993,0.18431179
E294_24,-20.560574,0.86543876
E295_604,13.683013,-0.69055086
E296_561,16.235395,0.12383284
E297_687,13.280533,-0.5463501
E298_51,-18.661032,-0.5016156
E299_7,-21.426702,1.348913
E300_696,13.164049,0.34897664
E301_24,-20.446243,0.19699888
E302_316,-2.6003253,1.4224248
E303_393,1.1051358,0.22187242
E304_772,19.689167,-1.0350213
E305_277,-12.749231,0.7432563
E306_671,15.973776,-0.86455745
E307_215,-11.201991,0.91648394
E308_528,9.579129,-1.4018589
E309_680,17.363243,-1.0031304
E310_110,-19.167107,0.99514914
E311_596,11.575329,0.6332059
E312_29,-19.53201,0.8959733
E313_717,12.78349,0.8537039
E314_120,-14.380003,0.6082642
E315_650,12.669159,0.5360204
E316_368,-2.2004247,-0.8488419
E317_122,-12.648332,0.7477608
E318_121,-14.760969,-0.21916912
E319_707,16.388166,-1.3951876
E320_473,3.879315,-0.14900298
E321_217,-7.069342,0.2996058
E322_725,16.52408,-1.6925212
E323_510,12.944975,0.34683925
E324_445,6.2604456,-0.99168086
E325_541,13.169394,-1.0678531
E326_47,-18.878262,-0.9173265
E327_571,8.118849,-0.525952
E328_689,18.253683,-1.1332796
E329_739,16.997849,-1.0382196
E330_312,-3.337586,0.5622012
E331_282,-3.6346161,0.16924298
E332_201,-7.950652,-0.11997232
E333_613,11.413769,-1.1455492
E334_195,-11.353173,0.5777257
E335_224,-8.200675,-0.11969394
E336_398,1.8436753,0.13718857
E337_287,-5.808305,0.07110445
E338_509,3.4599824,-0.18171681
E339_691,11.5760975,-0.11494612
E340_106,-16.427746,0.29843011
E341_149,-9.072618,0.3371624
E342_347,3.0344076,-1.0799727
E343_724,15.140743,-0.27674696
E344_233,-9.016631,0.12669085
E345_390,2.0380645,-0.54320943
E346_577,8.700169,-0.59812045
E347_78,-19.65815,1.1093512
E348_137,-15.6455145,1.1656039
E349_181,-13.233714,0.07915168
E350_588,8.173183,-2.0370026
E351_251,-8.289905,0.59566534
E352_260,-8.536739,-0.21395464
E353_118,-19.912363,0.2478263
E354_470,12.885992,0.07552819
E355_43,-19.970926,0.42769766
E356_88,-14.924743,0.09356481
E357_401,-1.0063647,-0.17068085
E358_711,20.147861,-0.27223036
E359_644,12.020328,-0.26116586
E360_448,1.8643652,-0.45435232
E361_225,-7.904369,0.5486904
E362_111,-14.878445,0.8020015
E363_400,3.6801553,-0.50620896
E364_733,16.06736,0.10719155
E365_219,-8.204772,0.3794148
E366_102,-18.510881,0.0072910464
E367_41,-20.51455,1.2959782
E368_690,10.26971,-0.48693115
E369_492,2.703109,0.6520868
E370_520,5.930074,-0.19944255
E371_63,-18.774704,1.2655823
E372_797,16.73114,-1.5607269
E373_552,10.72783,-0.8023184
E374_181,-15.188995,-0.015157237
E375_394,3.0503864,-0.31014496
E376_735,20.309782,0.0033267532
E377_264,-8.672091,0.2649738
E378_317,-2.295049,0.031455047
E379_262,-8.54132,0.33805758
E380_406,-2.5513792,0.81612974
E381_163,-8.596905,-0.5578403
E382_211,-9.203267,-0.27923715
E383_187,-13.748463,0.75505334
E384_274,-3.3704605,1.1321595
E385_2,-21.856094,1.2901131
E386_58,-19.520063,1.3321619
E387_447,3.906176,-0.12659548
E388_627,11.866587,-1.3632249
E389_170,-14.414144,-0.110032715
E390_238,-8.667364,1.0890901
E391_461,-1.408725,-0.19331473
E392_72,-18.558355,1.1017828
E393_326,-2.8233473,-1.1295583
E394_530,7.138832,-0.83258855
E395_593,17.073618,-0.5847384
E396_307,-3.7604775,0.28185302
E397_706,16.926146,-1.1265783
E398_502,8.630979,-0.15805353
E399_318,-2.4325957,-0.32468355
E400_119,-14.162961,0.5427103
E401_165,-13.95179,0.26950204
E402_280,-3.0389214,0.23762786
E403_171,-14.260828,-0.32331723
E404_623,14.472049,-0.085776225
E405_3,-21.77477,1.2111776
E406_336,-1.3467853,-0.39416355
E407_302,-5.2399178,-0.39179507
E408_161,-12.974518,0.8774641
E409_759,20.743101,0.5867179
E410_448,1.413853,0.14450471
E411_642,10.305381,-0.10436694
E412_506,4.508008,-0.61286783
E413_418,4.88473,-0.013041509
E414_757,20.765219,0.6404682
E415_394,2.2188377,-0.8374779
E416_566,7.828428,-0.84701955
E417_410,-3.143759,0.10021844
E418_287,-5.0887666,-0.12576526
E419_212,-12.375732,0.7674211
E420_53,-18.90512,0.3253615
E421_593,9.956158,-0.3423854
E422_189,-12.851824,0.02975976
E423_705,18.26545,-1.5279523
E424_250,-14.428223,-0.31019
E425_319,-4.3747787,0.80867344
