,t-SNE 1,t-SNE 2
E0_665,-10.567373,5.925949
E1_648,-10.198,5.0709777
E2_346,-0.70898694,-0.93665445
E3_480,2.134033,8.713305
E4_587,-6.148917,-8.346957
E5_1,13.557532,-0.9946345
E6_102,11.004638,-2.564051
E7_488,-8.7510195,5.4681997
E8_574,-6.712283,-9.726855
E9_501,-6.3745527,3.9634802
E10_2,13.414566,-1.3316118
E11_199,2.10877,0.4419251
E12_198,2.1795435,0.5537773
E13_485,-5.3735127,-9.406436
E14_720,-7.0218153,-9.257511
E15_760,-10.235941,5.267363
E16_31,11.627292,-3.592117
E17_98,7.696448,-2.577342
E18_213,1.3173777,-0.039834846
E19_96,9.55532,-3.007021
E20_621,2.7485006,10.569982
E21_189,2.541003,-1.1617607
E22_337,1.124327,6.793283
E23_228,1.998902,0.18027554
E24_496,-10.457291,6.452041
E25_486,-9.734056,5.8118954
E26_571,-6.593208,-9.235287
E27_65,10.902123,-4.2755437
E28_764,2.13126,10.731559
E29_87,11.302207,-2.9625251
E30_249,1.6996778,-0.49793026
E31_106,8.504121,-3.128519
E32_87,9.924189,-4.2407417
E33_732,-9.821388,5.4394875
E34_358,-7.4706464,4.610254
E35_313,-1.1981374,-0.0069854357
E36_289,1.3396579,7.2444487
E37_71,11.481195,-3.1941707
E38_66,11.386579,-3.7714875
E39_203,2.3768902,-1.0989563
E40_776,-6.9350476,-8.619851
E41_39,11.714549,-3.3656008
E42_392,-4.3410077,-4.8747673
E43_536,2.0717826,10.697453
E44_191,2.431254,-1.2881465
E45_614,2.818797,10.614182
E46_690,-10.241058,5.546712
E47_288,0.6381145,4.979419
E48_686,-7.3354163,-7.659673
E49_499,-5.0930495,-6.4092193
E50_87,12.151949,-2.310779
E51_30,12.654188,-2.513561
E52_579,1.9060264,10.742632
E53_253,-2.9557583,-3.2490659
E54_245,1.2425781,-0.48677334
E55_586,2.4496472,10.696093
E56_344,1.0804956,6.694998
E57_614,-8.322156,-9.27949
E58_81,10.268824,-4.1340237
E59_787,-10.4019985,5.228309
E60_242,2.1865044,0.6707348
E61_269,-0.61650246,1.8727038
E62_139,8.204276,-3.0716834
E63_502,1.99257,10.082239
E64_82,10.263333,-3.2009478
E65_576,-6.378025,-10.058273
E66_597,-9.737594,5.1855555
E67_572,-6.232624,-9.090655
E68_672,-5.9957733,-9.502766
E69_585,2.8487663,9.713226
E70_300,0.84194726,-0.20083833
E71_149,7.087117,-3.458911
E72_371,0.64022195,5.099045
E73_78,11.668004,-3.8642638
E74_736,-10.10586,5.622609
E75_271,0.3195552,3.7287607
E76_508,-10.112142,5.114125
E77_362,1.0546403,6.691671
E78_127,6.990782,-2.7296193
E79_742,-7.1971726,-9.419363
E80_674,-7.4408684,-9.868891
E81_290,-3.9258077,-4.443992
E82_659,-9.782143,6.3938646
E83_357,0.14090979,1.674741
E84_465,-10.655416,6.0021977
E85_745,-9.841667,6.031853
E86_613,2.742746,10.154845
E87_688,-5.3529224,-9.345909
E88_61,11.745374,-3.4474728
E89_158,3.6822295,-1.5299368
E90_45,11.219305,-4.045633
E91_8,13.20294,-1.9578741
E92_711,-10.935304,5.5409694
E93_475,1.7584628,8.251306
E94_666,-10.746431,5.355673
E95_785,2.8344674,10.575445
E96_411,-2.779095,1.966995
E97_342,0.79161733,5.6439877
E98_601,-9.225192,5.8925896
E99_301,-2.5429971,-2.5575228
E100_102,7.647533,-3.5220091
E101_488,2.6068702,9.382071
E102_178,6.612573,-3.5862665
E103_217,1.7047071,0.7420079
E104_675,-10.078777,4.5987344
E105_248,2.9308317,-1.0622733
E106_130,7.154868,-2.9798656
E107_634,2.5306368,10.692125
E108_347,-4.2449107,-4.9433722
E109_254,1.991086,1.3863797
E110_735,-10.268131,6.4095807
E111_760,-6.1810236,-10.318739
E112_513,2.4021614,10.704543
E113_401,0.55166024,4.7837954
E114_86,11.162249,-4.5310187
E115_277,1.7340082,0.9668093
E116_400,1.4607207,-0.48685086
E117_324,-3.0339072,-3.3679683
E118_41,11.807126,-2.5040674
E119_413,-7.896184,-8.36902
E120_369,-4.606099,-5.579278
E121_48,12.855023,-1.9779497
E122_457,0.20019712,2.6420515
E123_35,10.953279,-2.920732
E124_776,-9.589591,5.861839
E125_340,-3.5553522,-4.039828
E126_790,-6.723967,-7.80348
E127_358,1.5384889,7.9899926
E128_439,1.7443705,8.5274315
E129_143,1.9763535,-0.45766702
E130_17,12.864692,-2.5138502
E131_286,2.3864686,-0.34982485
E132_352,-6.8905287,4.261528
E133_332,-3.1266584,-3.564754
E134_697,2.5426447,9.818909
E135_287,-2.3079112,-2.0289307
E136_253,1.8632497,0.31762594
E137_793,1.8486097,10.701939
E138_133,2.1624832,-1.2040231
E139_213,1.9254562,0.39766455
E140_452,-9.177796,6.0362296
E141_7,12.983376,-1.8812401
E142_150,6.8843026,-2.4508376
E143_21,12.846035,-3.2722533
E144_591,-6.040891,-9.474682
E145_267,0.656268,5.2823634
E146_708,-7.6380143,-8.803992
E147_541,-9.40023,6.6605525
E148_414,1.0673349,6.672433
E149_340,3.8811522,8.803066
E150_320,1.1946735,7.0706477
E151_723,-9.123968,5.596571
E152_301,1.038656,-0.22075099
E153_742,-9.968681,5.822914
E154_160,1.9410883,-1.1350368
E155_633,-7.6539574,-8.9012985
E156_441,-5.102085,-8.367025
E157_681,-10.168159,5.9568
E158_753,2.0798569,10.750681
E159_59,10.789159,-3.6361165
E160_435,-8.115971,-9.039487
E161_47,12.210467,-3.702878
E162_500,-4.732619,-5.8541327
E163_402,2.629846,8.9012985
E164_436,-4.362187,-5.1664896
E165_170,4.0960913,-1.7032447
E166_315,-4.286034,-5.213131
E167_43,11.151561,-2.8095832
E168_371,-0.5732925,-0.27019435
E169_723,2.6514914,10.039281
E170_338,0.37589946,4.458937
E171_58,11.370141,-3.0594747
E172_673,-6.140714,-10.8726225
E173_310,0.7783645,0.43063334
E174_116,8.368683,-3.5903308
E175_98,11.07934,-3.5010946
E176_332,-2.5013077,1.8398076
E177_546,-6.968063,-7.407891
E178_539,-5.152039,-5.9615993
E179_687,1.933423,9.947414
E180_542,3.1059678,10.460161
E181_457,-4.2940526,-5.1824
E182_301,0.63627,5.121615
E183_218,1.6038289,0.38795316
E184_382,0.47500017,4.8374543
E185_684,1.8240062,10.253946
E186_765,-5.375636,-8.44625
E187_731,-7.8924932,-8.7157135
E188_154,6.9434233,-2.5684218
E189_132,8.443241,-2.385932
E190_123,9.512589,-4.0849895
E191_321,0.46509975,4.4924226
E192_638,-6.5307255,-9.898308
E193_20,12.928885,-2.178861
E194_115,8.4493885,-3.529618
E195_406,1.2252022,7.075679
E196_194,9.601006,-2.8300796
E197_431,-2.90804,-3.1707375
E198_137,6.7580967,-2.9987254
E199_673,-10.174231,5.607206
E200_770,-5.6795034,-8.988397
E201_320,0.3029186,0.00031575427
E202_545,2.8055031,9.985349
E203_230,1.5217266,-0.37377748
E204_311,-2.1803696,1.5559926
E205_700,-10.604393,6.7354364
E206_709,1.7741038,10.593833
E207_347,1.2861817,7.248209
E208_608,-5.8964653,-10.32643
E209_518,-9.700043,5.8771586
E210_799,-7.595828,-9.708171
E211_490,-9.593267,5.040732
E212_85,11.260925,-4.4441996
E213_244,2.218507,-1.006188
E214_602,-9.9653225,6.565172
E215_691,-6.903939,-10.092187
E216_648,-7.0225716,-9.385058
E217_713,2.847729,9.585116
E218_721,1.3421054,10.581214
E219_50,11.077463,-3.6575055
E220_81,10.404583,-2.7027934
E221_662,3.04526,10.509367
E222_785,-6.283293,-8.691833
E223_421,-9.49469,5.0440574
E224_677,3.0927799,10.457466
E225_287,-2.1656806,1.5905259
E226_393,2.0866535,9.2245
E227_552,-6.507691,-9.20523
E228_225,6.6545286,-2.7377846
E229_774,-10.791465,5.4640646
E230_334,-2.8427382,-3.0242486
E231_522,-6.5492363,-9.183803
E232_554,2.3424094,9.72297
E233_457,-10.1397505,5.8147693
E234_739,-5.8016477,-8.584399
